21989,43400,46928
27336,17177,20272
42084,10586,38382
16849,74278,70779
8053,31067,6127
62329,76535,33045
46819,2507,58534
90355,69905,49177
68245,93886,20080
83994,97977,75745
52795,7362,98319
90719,1340,79383
44511,60723,92720
9555,68693,21556
79657,94047,14324
29001,35095,73863
22786,68941,76893
79897,96977,17766
83141,96029,38676
35159,97681,1838
20027,63496,55741
9482,1728,4935
21622,31033,36091
49090,84628,63141
9978,7518,11927
54891,66019,54303
83988,95243,48904
79769,11348,71187
22887,92808,42428
72969,96106,89802
58384,64249,23306
78687,19817,62273
80987,66767,84659
44868,64909,2753
79609,90096,29701
96514,47744,72386
11836,14816,51064
61979,71436,85182
12846,67364,83668
1878,95152,2126
68515,63125,21454
66297,87516,24174
42956,90109,59867
181,75373,66037
67787,21122,86041
78615,75071,29893
20545,54900,73693
27433,24500,90057
84506,35125,36616
29870,60643,45985
20319,6353,46
30380,25444,54891
48414,8558,61185
85812,30287,87197
44545,23913,56346
18095,13046,63831
24490,88169,49958
54193,23824,6901
28448,19947,10197
62349,97066,50273
2875,64025,82133
22847,40931,50316
97648,47142,79001
82057,25349,97029
22420,70618,46728
62275,36194,48637
85983,90073,78463
11032,13791,60543
32571,61253,92924
57854,50882,47820
39483,63456,94201
75191,69908,26544
1885,4126,91125
14747,66425,4014
26659,34878,1758
94619,8227,48004
84303,79522,73270
7893,39965,67725
12598,88878,36877
43896,97529,64255
93519,49017,66798
64317,3473,90520
74298,13277,22936
9774,39303,84371
34572,92040,21081
54859,43124,33249
75160,8290,34601
54196,74535,55851
34250,27837,76821
5930,79492,12316
38987,39689,15886
41125,71447,77988
67984,43590,49867
92695,6725,61726
78164,4072,62373
2811,2538,60035
31643,56815,91604
46356,21759,1792
20093,77078,18121
82458,66517,48397
68871,43449,72521
57817,44775,21111
22295,33569,60123
90344,13977,40957
66243,46063,86004
25708,47803,94489
74946,76466,40658
86157,57808,85708
33181,40280,31751
20593,28652,65753
13652,82133,9784
55676,77055,95750
16141,24697,56642
91373,87208,28074
32008,63181,37037
80984,90774,53394
67594,20803,73087
50928,36606,84814
18489,92881,19207
23765,94945,77387
21365,26903,56982
52344,54618,87464
94241,11636,87204
6222,27312,73697
74541,83523,38911
15669,3852,32710
94999,7946,82643
6750,82292,20876
60843,39080,31212
28722,11507,83916
92202,1285,47851
2454,19516,74796
25400,82650,91315
19518,50498,31391
54814,49100,81652
20150,47080,37885
91739,56763,68268
57361,39125,55952
6968,6690,38429
75953,64838,78167
99680,15545,47931
64553,22859,39045
78540,18055,56504
32360,97785,11458
99881,32924,34589
20195,1760,14514
90560,44215,71619
14650,57313,63300
15311,39648,37944
76178,63853,68973
78056,8556,16071
56313,34538,98290
30821,16535,78238
26721,8073,23571
65943,76922,98492
79080,49322,64967
94424,51817,55577
25479,30282,15928
63660,93591,64089
17327,68654,31351
13726,81949,27994
6443,78765,10599
89877,67577,21846
21514,34879,35700
140,44318,5206
69439,98667,5092
36347,81596,1408
90576,47401,10213
54855,35663,38858
50752,1190,38998
10136,67447,36418
578,58902,42939
42810,67484,96025
31387,47156,21207
84587,25471,17452
95536,40284,70510
63801,57470,60118
86803,95737,46443
43533,35717,81724
57283,47289,66518
89102,79109,54867
54250,68648,1958
20923,17557,9625
62894,69383,37269
83982,87771,23691
68385,35000,59542
43185,803,42170
1216,39769,17706
13973,45156,83226
78870,59895,90816
46551,12399,66720
52100,39430,89642
29034,11985,68931
30580,44618,35876
12109,797,99908
22982,91645,15969
14251,75166,89030
28597,42699,39913
81739,87192,21675
94643,43326,96712
78822,16522,35426
76237,74659,59598
55996,75446,38589
647,91454,33946
53013,29018,74873
19777,6672,33307
46539,77249,20075
69509,85715,25500
62695,98716,67490
42814,62075,26260
50448,26781,10685
3911,19421,54799
26301,19252,62649
65522,18172,65203
19679,10640,63868
83004,80955,73228
53415,5373,83170
38093,8393,96357
27390,19431,17516
20229,46292,79190
37958,55164,79476
97229,17110,56159
43890,12360,74529
25212,42527,36128
12895,51260,66518
32612,72303,75316
61647,55125,9396
31826,43715,71559
34507,31223,21770
94867,22210,23266
83089,53926,76734
9840,88396,96699
70363,29913,44729
55323,24174,90245
61798,28555,93478
61728,45777,47203
89933,53073,53008
92905,86135,37577
70958,89272,32152
73036,41271,90355
75094,74519,11447
57054,28723,80755
39450,53964,38978
80477,66660,72850
40154,19495,76464
14020,84567,3682
21382,42091,53499
10014,3930,748
49045,56441,54110
83809,13239,2470
47981,43292,93298
23100,41573,83981
48639,38167,56623
77333,87844,82405
99077,93499,1327
65876,37991,30827
69989,23101,36691
38750,41705,57612
45538,17608,68478
8171,17205,12093
38303,46912,42450
31966,50248,47983
73420,61961,10281
69055,69458,3830
42757,75468,79489
7886,50039,17119
47762,43797,24976
77506,73889,64427
50259,40348,71922
80026,60256,25868
70,69819,7660
2072,86316,64868
65115,68335,64866
80075,4419,83213
93197,8125,69399
86024,14523,7360
87382,64444,10375
75956,25332,96483
93453,52631,75113
45101,82190,79701
65635,83802,81873
6884,23260,60232
48753,67269,94213
66736,4968,72733
69894,38465,95255
21245,16802,73772
68517,88694,64150
2888,35746,62495
83559,80102,3702
22145,53913,54699
33855,55823,20736
75609,97261,33832
71247,95138,26753
15059,74346,75288
42299,6687,7912
35030,98013,9039
75235,53900,69690
74792,17498,13258
40060,76997,61935
85219,10413,84540
15644,95599,57541
72176,65415,92881
95054,69322,75224
53534,89228,65848
68113,74622,18367
21559,29544,29029
67948,60415,98570
44620,83884,1408
3306,75740,95539
79919,12539,49680
96532,30223,88484
29714,83033,29014
41601,54152,89540
78609,70213,3327
94954,37352,61165
55787,56098,73893
86433,15126,41085
35345,41083,90099
5890,19884,74252
65139,79042,39356
94235,4403,81957
42983,15861,40375
26642,59682,31073
34271,54330,53032
47329,88403,34324
83016,61411,95034
53412,34713,34700
28314,34785,22622
58711,8776,18346
65906,53575,77758
69491,74053,16617
23358,13388,93066
30708,62438,89896
62028,82703,44160
8807,80532,19148
40087,44946,14929
50187,91492,31871
90600,82049,14846
95849,57404,24774
17069,68223,44271
54550,39928,44128
68698,60884,61441
34269,58756,37926
6534,19576,14562
79144,10977,47138
57175,55782,95222
51061,23983,35367
17730,90399,98286
68088,22291,34966
48503,10137,78477
10881,79668,95666
48165,23598,11471
27694,30229,84803
26477,55050,27447
79058,27383,92969
8657,59875,89696
41662,70921,76791
47317,56431,33211
14096,42762,27841
58751,97468,65454
77826,28073,71702
83485,61508,90983
15862,3859,61952
61629,82047,19412
61116,86649,81005
77885,82274,88844
98131,39056,3013
45928,83213,33010
91494,10645,88111
48902,88464,71206
20439,35342,42112
22377,75311,86618
59330,2334,8935
92744,4567,9426
30082,4630,3730
58967,31367,81213
75724,62227,30332
55012,56038,98638
79266,52052,16274
25216,66611,96602
49177,92999,26127
99395,42024,64637
92361,88304,21354
96691,62455,74752
21142,38706,10260
28739,14343,33390
34724,45491,97054
80244,41548,51713
25813,51761,56479
7573,65021,56714
46812,89439,94378
10469,1704,79350
79335,55484,53910
70971,2747,35786
48078,22862,57641
53188,1536,32044
81731,58016,10950
